states,year,quarter,trans_type,trans_counts,amount,brand,user_counts,percentage,level
andaman-&-nicobar-islands,2018,2,Recharge & bill payments,6735,2320944.731074479,Realme,465.0,0.049441786283891,state_aggregated
andaman-&-nicobar-islands,2018,2,Recharge & bill payments,6735,2320944.731074479,Motorola,319.0,0.03391812865497,state_aggregated
andaman-&-nicobar-islands,2018,2,Recharge & bill payments,6735,2320944.731074479,Apple,308.0,0.032748538011695,state_aggregated
andaman-&-nicobar-islands,2018,2,Recharge & bill payments,6735,2320944.731074479,Lenovo,244.0,0.025943646996278,state_aggregated
andaman-&-nicobar-islands,2018,2,Recharge & bill payments,6735,2320944.731074479,Huawei,230.0,0.024455077086656,state_aggregated
andaman-&-nicobar-islands,2018,2,Recharge & bill payments,6735,2320944.731074479,Others,916.0,0.09739500265816,state_aggregated
andaman-&-nicobar-islands,2018,2,Peer-to-peer payments,3575,24511925.23104766,Xiaomi,2303.0,0.244869750132908,state_aggregated
andaman-&-nicobar-islands,2018,2,Peer-to-peer payments,3575,24511925.23104766,Samsung,1923.0,0.204465709728867,state_aggregated
andaman-&-nicobar-islands,2018,2,Peer-to-peer payments,3575,24511925.23104766,Vivo,1523.0,0.161935140882509,state_aggregated
andaman-&-nicobar-islands,2018,2,Peer-to-peer payments,3575,24511925.23104766,Oppo,708.0,0.075279106858054,state_aggregated
andaman-&-nicobar-islands,2018,2,Peer-to-peer payments,3575,24511925.23104766,OnePlus,466.0,0.049548112706007,state_aggregated
andaman-&-nicobar-islands,2018,2,Peer-to-peer payments,3575,24511925.23104766,Realme,465.0,0.049441786283891,state_aggregated
andaman-&-nicobar-islands,2018,2,Peer-to-peer payments,3575,24511925.23104766,Motorola,319.0,0.03391812865497,state_aggregated
andaman-&-nicobar-islands,2018,2,Peer-to-peer payments,3575,24511925.23104766,Apple,308.0,0.032748538011695,state_aggregated
andaman-&-nicobar-islands,2018,2,Peer-to-peer payments,3575,24511925.23104766,Lenovo,244.0,0.025943646996278,state_aggregated
andaman-&-nicobar-islands,2018,2,Peer-to-peer payments,3575,24511925.23104766,Huawei,230.0,0.024455077086656,state_aggregated
andaman-&-nicobar-islands,2018,2,Peer-to-peer payments,3575,24511925.23104766,Others,916.0,0.09739500265816,state_aggregated
andaman-&-nicobar-islands,2018,2,Merchant payments,603,1024491.0133579008,Xiaomi,2303.0,0.244869750132908,state_aggregated
andaman-&-nicobar-islands,2018,2,Merchant payments,603,1024491.0133579008,Samsung,1923.0,0.204465709728867,state_aggregated
andaman-&-nicobar-islands,2018,2,Merchant payments,603,1024491.0133579008,Vivo,1523.0,0.161935140882509,state_aggregated
andaman-&-nicobar-islands,2018,2,Merchant payments,603,1024491.0133579008,Oppo,708.0,0.075279106858054,state_aggregated
andaman-&-nicobar-islands,2018,2,Merchant payments,603,1024491.0133579008,OnePlus,466.0,0.049548112706007,state_aggregated
andaman-&-nicobar-islands,2018,2,Merchant payments,603,1024491.0133579008,Realme,465.0,0.049441786283891,state_aggregated
andaman-&-nicobar-islands,2018,2,Merchant payments,603,1024491.0133579008,Motorola,319.0,0.03391812865497,state_aggregated
andaman-&-nicobar-islands,2018,2,Merchant payments,603,1024491.0133579008,Apple,308.0,0.032748538011695,state_aggregated
